% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.689	1	2	69	10	1	28	1095	0
0.689	1	1	69	10	2	28	1095	0
0.69	1	2	70	1	1	28	1095	0
0.69	1	1	70	1	2	28	1095	0
0.691	1	2	70	2	1	28	1095	0
0.691	1	1	70	2	2	28	1095	0
0.692	1	2	70	3	1	28	1095	0
0.692	1	1	70	3	2	28	1095	0
0.693	1	2	70	4	1	28	1095	0
0.693	1	1	70	4	2	28	1095	0
0.694	1	2	70	5	1	28	1095	0
0.694	1	1	70	5	2	28	1095	0
0.695	1	2	70	6	1	28	1095	0
0.695	1	1	70	6	2	28	1095	0
0.696	1	2	70	7	1	28	1095	0
0.696	1	1	70	7	2	28	1095	0
0.697	1	2	70	8	1	28	1095	0
0.697	1	1	70	8	2	28	1095	0
0.698	1	2	70	9	1	28	1095	0
0.698	1	1	70	9	2	28	1095	0
0.699	1	2	70	10	1	28	1095	0
0.699	1	1	70	10	2	28	1095	0
0.7	1	2	71	1	1	28	1095	0
0.7	1	1	71	1	2	28	1095	0
0.701	1	2	71	2	1	28	1095	0
0.701	1	1	71	2	2	28	1095	0
0.702	1	2	71	3	1	28	1095	0
0.702	1	1	71	3	2	28	1095	0
0.703	1	2	71	4	1	28	1095	0
0.703	1	1	71	4	2	28	1095	0
0.704	1	2	71	5	1	28	1095	0
0.704	1	1	71	5	2	28	1095	0
0.705	1	2	71	6	1	28	1095	0
0.705	1	1	71	6	2	28	1095	0
0.706	1	2	71	7	1	28	1095	0
0.706	1	1	71	7	2	28	1095	0
0.707	1	2	71	8	1	28	1095	0
0.707	1	1	71	8	2	28	1095	0
0.708	1	2	71	9	1	28	1095	0
0.708	1	1	71	9	2	28	1095	0
0.709	1	2	71	10	1	28	1095	0
0.709	1	1	71	10	2	28	1095	0
0.71	1	2	72	1	1	28	1095	0
0.71	1	1	72	1	2	28	1095	0
0.711	1	2	72	2	1	28	1095	0
0.711	1	1	72	2	2	28	1095	0
0.712	1	2	72	3	1	28	1095	0
0.712	1	1	72	3	2	28	1095	0
0.713	1	2	72	4	1	28	1095	0
0.713	1	1	72	4	2	28	1095	0
0.714	1	2	72	5	1	28	1095	0
0.714	1	1	72	5	2	28	1095	0
0.715	1	2	72	6	1	28	1095	0
0.715	1	1	72	6	2	28	1095	0
0.716	1	2	72	7	1	28	1095	0
0.716	1	1	72	7	2	28	1095	0
0.717	1	2	72	8	1	28	1095	0
0.717	1	1	72	8	2	28	1095	0
0.718	1	2	72	9	1	28	1095	0
0.718	1	1	72	9	2	28	1095	0
0.719	1	2	72	10	1	28	1095	0
0.719	1	1	72	10	2	28	1095	0
